Mode,BackFrameNum,BackWeight,MidFrameNum,MidWeight,FrontFrameNum,FrontWeight,TimeMs,Knob,ResponsePattern,StepNumber,Amplitude,Velocity,FunctionRatio,CameraSpeed
GaussOnly,cam1,0.166379,cam2,0.667243,cam3,0.166379,0.000,0.000,Velocity,1,0,1.000000,0.667243,1.000
GaussOnly,cam1,0.158795,cam2,0.667005,cam3,0.174200,16.667,0.000,Velocity,1,0,1.000000,0.667005,1.000
GaussOnly,cam1,0.151449,cam2,0.666292,cam3,0.182260,33.333,0.000,Velocity,1,0,1.000000,0.666292,1.000
GaussOnly,cam1,0.144339,cam2,0.665105,cam3,0.190556,50.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnly,cam1,0.137466,cam2,0.663447,cam3,0.199088,66.667,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnly,cam1,0.130826,cam2,0.661321,cam3,0.207853,83.333,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnly,cam1,0.124418,cam2,0.658732,cam3,0.216850,100.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnly,cam1,0.118240,cam2,0.655685,cam3,0.226075,116.667,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnly,cam1,0.112289,cam2,0.652187,cam3,0.235524,133.333,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnly,cam1,0.106561,cam2,0.648246,cam3,0.245194,150.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnly,cam1,0.101053,cam2,0.643869,cam3,0.255078,166.667,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnly,cam1,0.095761,cam2,0.639067,cam3,0.265172,183.333,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnly,cam1,0.090683,cam2,0.633848,cam3,0.275469,200.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnly,cam1,0.085812,cam2,0.628225,cam3,0.285963,216.667,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnly,cam1,0.081145,cam2,0.622210,cam3,0.296645,233.333,0.000,Velocity,1,0,1.000000,0.622210,1.000
GaussOnly,cam1,0.076678,cam2,0.615814,cam3,0.307508,250.000,0.000,Velocity,1,0,1.000000,0.615814,1.000
GaussOnly,cam1,0.072405,cam2,0.609053,cam3,0.318543,266.667,0.000,Velocity,1,0,1.000000,0.609053,1.000
GaussOnly,cam1,0.068322,cam2,0.601939,cam3,0.329740,283.333,0.000,Velocity,1,0,1.000000,0.601939,1.000
GaussOnly,cam1,0.064423,cam2,0.594487,cam3,0.341089,300.000,0.000,Velocity,1,0,1.000000,0.594487,1.000
GaussOnly,cam1,0.060705,cam2,0.586715,cam3,0.352581,316.667,0.000,Velocity,1,0,1.000000,0.586715,1.000
GaussOnly,cam1,0.057160,cam2,0.578637,cam3,0.364203,333.333,0.000,Velocity,1,0,1.000000,0.578637,1.000
GaussOnly,cam1,0.053785,cam2,0.570270,cam3,0.375945,350.000,0.000,Velocity,1,0,1.000000,0.570270,1.000
GaussOnly,cam1,0.050574,cam2,0.561631,cam3,0.387795,366.667,0.000,Velocity,1,0,1.000000,0.561631,1.000
GaussOnly,cam1,0.047522,cam2,0.552739,cam3,0.399739,383.333,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnly,cam1,0.044622,cam2,0.543611,cam3,0.411767,400.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnly,cam1,0.041871,cam2,0.534265,cam3,0.423863,416.667,0.000,Velocity,1,0,1.000000,0.534265,1.000
GaussOnly,cam1,0.039263,cam2,0.524721,cam3,0.436017,433.333,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnly,cam1,0.036792,cam2,0.514995,cam3,0.448213,450.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnly,cam1,0.034453,cam2,0.505108,cam3,0.460439,466.667,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnly,cam1,0.032241,cam2,0.495079,cam3,0.472681,483.333,0.000,Velocity,1,0,1.000000,0.495079,1.000
GaussOnly,cam1,0.030151,cam2,0.484925,cam3,0.484925,500.000,0.000,Velocity,1,0,1.000000,0.484925,1.000
GaussOnly,cam1,0.028178,cam2,0.474665,cam3,0.497157,516.667,0.000,Velocity,1,0,1.000000,0.474665,1.000
GaussOnly,cam1,0.026317,cam2,0.464319,cam3,0.509365,533.333,0.000,Velocity,1,0,1.000000,0.464319,1.000
GaussOnly,cam1,0.024562,cam2,0.453904,cam3,0.521534,550.000,0.000,Velocity,1,0,1.000000,0.453904,1.000
GaussOnly,cam1,0.022911,cam2,0.443438,cam3,0.533652,566.667,0.000,Velocity,1,0,1.000000,0.443438,1.000
GaussOnly,cam1,0.021356,cam2,0.432939,cam3,0.545705,583.333,0.000,Velocity,1,0,1.000000,0.432939,1.000
GaussOnly,cam1,0.019895,cam2,0.422424,cam3,0.557681,600.000,0.000,Velocity,1,0,1.000000,0.422424,1.000
GaussOnly,cam1,0.018522,cam2,0.411910,cam3,0.569568,616.667,0.000,Velocity,1,0,1.000000,0.411910,1.000
GaussOnly,cam1,0.017233,cam2,0.401413,cam3,0.581354,633.333,0.000,Velocity,1,0,1.000000,0.401413,1.000
GaussOnly,cam1,0.016025,cam2,0.390948,cam3,0.593028,650.000,0.000,Velocity,1,0,1.000000,0.390948,1.000
GaussOnly,cam1,0.014892,cam2,0.380531,cam3,0.604577,666.667,0.000,Velocity,1,0,1.000000,0.380531,1.000
GaussOnly,cam1,0.013831,cam2,0.370175,cam3,0.615993,683.333,0.000,Velocity,1,0,1.000000,0.370175,1.000
GaussOnly,cam1,0.012839,cam2,0.359896,cam3,0.627266,700.000,0.000,Velocity,1,0,1.000000,0.359896,1.000
GaussOnly,cam1,0.011911,cam2,0.349705,cam3,0.638384,716.667,0.000,Velocity,1,0,1.000000,0.349705,1.000
